# Plan 1: AttentionMIL with CORAL Loss
epoch,train_loss,valid_loss,f1_macro,kappa,mae,learning_rate
1,0.419413,0.406682,0.1225,0.0484,0.9000,0.0001
2,0.382257,0.425151,0.1017,-0.0235,0.8533,0.0001
3,0.388971,0.406455,0.1008,0.0000,0.8400,0.0001
4,0.383294,0.398684,0.1382,0.0842,0.8533,0.0001
5,0.381897,0.404264,0.1012,-0.0118,0.8467,0.0001
6,0.381089,0.396950,0.1008,0.0000,0.8400,0.0001
7,0.377736,0.402091,0.0968,-0.0276,0.8733,0.0001
8,0.366075,0.430017,0.1277,0.0336,0.9467,0.0001
9,0.364617,0.358821,0.2139,0.2235,0.7733,0.0001
10,0.349769,0.361295,0.1818,0.2534,0.8000,0.0001
11,0.351707,0.359393,0.1855,0.3110,0.7733,0.0001
12,0.348215,0.372410,0.1481,0.2203,0.7667,0.0001
13,0.333432,0.389681,0.1642,0.1925,0.7800,0.0001
14,0.330976,0.373065,0.2302,0.3609,0.7533,0.0001
15,0.323384,0.346080,0.2004,0.4020,0.7467,0.0001
16,0.311086,0.362239,0.2070,0.2951,0.7467,0.0001
17,0.322140,0.369614,0.1887,0.4082,0.8600,0.0001
18,0.314408,0.364156,0.2172,0.3320,0.8600,0.0001
19,0.313861,0.341208,0.2407,0.5699,0.7400,0.0001
20,0.307913,0.320317,0.1815,0.3964,0.7267,0.0001
21,0.295275,0.361939,0.2870,0.3050,0.7400,0.0001
22,0.297830,0.380947,0.1714,0.2983,0.7267,0.0001
23,0.299220,0.329202,0.3135,0.5611,0.6333,0.0001
24,0.288384,0.345857,0.2765,0.5284,0.6667,0.0001
25,0.289582,0.333449,0.3301,0.5374,0.7000,0.0001
26,0.285329,0.325127,0.2483,0.6033,0.7267,0.0001
27,0.293923,0.318891,0.2666,0.5542,0.6867,0.0001
28,0.282986,0.298799,0.3240,0.5653,0.6133,0.0001
29,0.275926,0.461487,0.2531,0.4808,0.9667,0.0001
30,0.273874,0.303237,0.3231,0.5442,0.6200,0.0001
31,0.266783,0.341591,0.2823,0.4916,0.7600,0.0001
32,0.263034,0.342743,0.3063,0.4473,0.7267,0.0001
33,0.286678,0.319471,0.2780,0.5050,0.7133,0.0001
34,0.275063,0.294888,0.2474,0.5350,0.6733,0.0001
35,0.269051,0.308257,0.3089,0.5319,0.6667,0.0001
36,0.267098,0.296418,0.3693,0.5812,0.6467,0.0001
37,0.260864,0.305227,0.2633,0.5784,0.6867,0.0001
38,0.250911,0.277209,0.3848,0.6596,0.5933,2e-05
39,0.243391,0.269599,0.2854,0.5997,0.5933,2e-05
40,0.245064,0.312081,0.2927,0.5782,0.6533,2e-05
41,0.238215,0.286437,0.3465,0.6362,0.5733,2e-05
42,0.223134,0.296486,0.3482,0.6194,0.6333,2e-05
43,0.228372,0.279261,0.3302,0.6128,0.5800,2e-05
44,0.225339,0.298431,0.3721,0.5896,0.6000,2e-05
45,0.218460,0.269136,0.5160,0.6622,0.5733,2e-05
46,0.221721,0.289231,0.4157,0.6141,0.6200,2e-05
47,0.221495,0.268016,0.3261,0.7182,0.5733,2e-05
48,0.230680,0.292872,0.2750,0.5878,0.6667,2e-05
49,0.210500,0.289490,0.4285,0.6329,0.5800,2e-05
50,0.210268,0.266320,0.3908,0.6992,0.5533,2e-05
51,0.225904,0.291422,0.3631,0.6081,0.6133,2e-05
52,0.217462,0.297045,0.3809,0.4756,0.6067,2e-05
53,0.205220,0.284489,0.3546,0.6541,0.5733,2e-05
54,0.217663,0.295594,0.3934,0.6808,0.5667,2e-05
55,0.217981,0.335747,0.3460,0.5218,0.6867,2e-05
56,0.224608,0.293543,0.3060,0.6718,0.6200,2e-05
57,0.199750,0.267405,0.3788,0.6756,0.5600,2e-05
58,0.203506,0.298613,0.3038,0.5886,0.6400,2e-05
59,0.200307,0.265309,0.3193,0.6949,0.5933,4.000000000000001e-06
60,0.202140,0.263777,0.3135,0.6875,0.5667,4.000000000000001e-06
61,0.198499,0.281344,0.3784,0.6259,0.6133,4.000000000000001e-06
62,0.193743,0.252445,0.3849,0.7454,0.5067,4.000000000000001e-06
63,0.201962,0.301069,0.3061,0.6176,0.5867,4.000000000000001e-06
64,0.194290,0.292309,0.3132,0.6110,0.6267,4.000000000000001e-06
65,0.190484,0.266551,0.3434,0.6788,0.5467,4.000000000000001e-06
66,0.197805,0.251456,0.4078,0.6895,0.5467,4.000000000000001e-06
67,0.203112,0.268830,0.4326,0.6964,0.5333,4.000000000000001e-06
68,0.192782,0.284444,0.4032,0.6576,0.5533,4.000000000000001e-06
69,0.188317,0.301357,0.4113,0.6206,0.5933,4.000000000000001e-06
70,0.192234,0.283409,0.3095,0.6092,0.6000,4.000000000000001e-06
71,0.194133,0.263101,0.4091,0.6446,0.5600,4.000000000000001e-06
72,0.195299,0.296964,0.3858,0.6687,0.5533,4.000000000000001e-06
73,0.187979,0.281722,0.3714,0.6929,0.5333,4.000000000000001e-06
74,0.182768,0.314827,0.3475,0.5780,0.6067,8.000000000000002e-07
75,0.188010,0.298380,0.3085,0.6489,0.5533,8.000000000000002e-07
76,0.188130,0.255029,0.3786,0.7571,0.5400,8.000000000000002e-07
77,0.197655,0.257606,0.3996,0.6854,0.5333,8.000000000000002e-07
78,0.196577,0.282690,0.2729,0.6377,0.6133,8.000000000000002e-07
79,0.197725,0.301700,0.3220,0.6043,0.5800,8.000000000000002e-07
80,0.190059,0.280401,0.3784,0.6553,0.5400,8.000000000000002e-07
81,0.198271,0.293760,0.3317,0.6256,0.6200,8.000000000000002e-07
82,0.187118,0.258596,0.4455,0.7576,0.4867,8.000000000000002e-07
83,0.187304,0.280895,0.3628,0.6578,0.6067,8.000000000000002e-07
84,0.199246,0.285449,0.3721,0.5904,0.5933,8.000000000000002e-07
85,0.184616,0.303024,0.3960,0.6526,0.5333,8.000000000000002e-07
86,0.187067,0.281079,0.4153,0.6641,0.5600,8.000000000000002e-07
87,0.197930,0.266623,0.4026,0.6677,0.5600,8.000000000000002e-07
88,0.184396,0.266443,0.4316,0.7246,0.5200,8.000000000000002e-07
89,0.190221,0.314314,0.2972,0.5742,0.6200,8.000000000000002e-07
90,0.188152,0.275461,0.3655,0.6830,0.5600,8.000000000000002e-07
91,0.193400,0.297831,0.2735,0.5488,0.6533,8.000000000000002e-07
92,0.181387,0.268453,0.4127,0.7025,0.5133,8.000000000000002e-07
93,0.190323,0.233336,0.3974,0.7713,0.4933,8.000000000000002e-07
94,0.203578,0.264245,0.3635,0.7153,0.5200,8.000000000000002e-07
95,0.201948,0.295247,0.2669,0.6419,0.6533,8.000000000000002e-07
96,0.187457,0.257761,0.3353,0.7342,0.5333,8.000000000000002e-07
97,0.195725,0.265317,0.3361,0.6242,0.5733,8.000000000000002e-07
98,0.197507,0.334168,0.2759,0.4839,0.7200,8.000000000000002e-07
99,0.187023,0.264785,0.3669,0.7177,0.5800,8.000000000000002e-07
100,0.192942,0.299320,0.3559,0.6797,0.5800,8.000000000000002e-07
