# Model: UNetHeatmapModel (512px, Transfer), Loss: MSELoss
epoch,train_loss,valid_mre,learning_rate
1,0.053302,267.1419,0.0001
2,0.010226,276.1974,0.0001
3,0.003923,285.8623,0.0001
4,0.002481,286.1336,0.0001
5,0.001959,286.7601,0.0001
6,0.001670,284.9297,0.0001
7,0.001470,282.8771,0.0001
8,0.001376,285.5262,2e-05
9,0.001351,287.5677,2e-05
10,0.001321,285.8524,2e-05
11,0.001295,283.7770,2e-05
12,0.001262,282.5907,2e-05
13,0.001238,289.0417,2e-05
14,0.001222,284.7029,4.000000000000001e-06
15,0.001220,284.3515,4.000000000000001e-06
16,0.001118,288.4827,1e-05
17,0.000961,289.1531,1e-05
18,0.000862,291.1223,1e-05
19,0.000790,291.7217,1e-05
20,0.000739,288.9621,1e-05
21,0.000697,288.4428,1e-05
